      Date    Data Minimum    10%    30%   Mean    70%    90% Maximum
2006-05-04  290.85  261.51 269.50 273.30 278.98 282.94 289.25  304.18
2006-05-05  293.02  259.45 270.40 275.96 279.08 282.49 289.75  300.35
2006-05-06  294.74  259.38 269.06 274.94 279.57 282.61 291.38  306.84
2006-05-07  298.76  263.46 269.31 275.62 280.21 283.62 292.09  303.86
2006-05-08  297.14  260.72 269.25 275.67 279.80 282.70 293.20  297.89
2006-05-09  295.80  260.87 272.09 275.22 280.12 281.61 295.52  297.88
2006-05-10  290.51  265.29 270.19 274.53 280.20 284.47 291.39  300.58
2006-05-11  291.46  266.92 268.88 275.95 279.93 283.36 291.45  300.36
2006-05-12  293.46  261.49 272.70 275.64 279.92 283.56 291.18  301.15
2006-05-13  293.30  265.89 271.90 276.60 280.42 282.90 292.53  303.47
2006-05-14  294.56  263.91 270.99 275.92 281.20 284.62 294.64  298.55
2006-05-15  298.95  261.70 271.35 276.94 281.71 286.72 292.79  300.18
2006-05-16  302.66  263.88 272.03 275.88 282.74 286.97 295.30  306.84
2006-05-17  307.94  267.89 272.18 278.09 284.01 286.87 299.22  307.94
2006-05-18  308.20  269.15 271.94 277.54 284.49 287.89 299.69  308.20
2006-05-19  311.62  269.80 271.24 278.83 284.31 286.79 299.45  311.62
2006-05-20  312.76  269.07 270.00 276.47 283.95 287.49 300.73  312.76
2006-05-21  310.59  266.92 270.67 274.03 283.82 288.06 300.30  310.59
2006-05-22  309.94  269.12 270.18 274.61 284.01 289.11 302.84  309.94
2006-05-23  309.97  265.35 271.04 274.57 283.63 287.82 303.03  309.97
2006-05-24  306.93  265.35 269.59 274.92 282.87 286.66 301.84  309.78
2006-05-25  304.18  263.87 269.10 276.07 282.80 287.77 302.29  308.98
2006-05-26  299.17  266.38 268.15 276.94 283.37 286.25 300.81  311.95
2006-05-27  305.81  267.35 269.97 277.65 284.03 286.92 303.41  312.99
2006-05-28  306.80  268.75 270.34 276.88 283.67 287.37 302.08  306.97
2006-05-29  307.97  268.35 269.10 276.06 283.47 288.37 300.51  307.97
2006-05-30  307.84  264.68 269.93 276.32 283.95 287.32 302.65  307.84
2006-05-31  304.19  264.39 271.13 276.51 284.62 288.79 302.53  306.42
2006-06-01  304.29  264.44 270.19 278.22 284.44 289.79 301.64  307.19
2006-06-02  301.32  264.94 269.21 280.11 284.90 291.17 301.12  310.50
2006-06-03  301.49  265.08 272.27 278.29 286.04 291.29 303.41  312.01
2006-06-04  306.03  265.05 272.82 279.75 287.16 292.05 306.14  317.74
2006-06-05  307.80  267.82 273.36 278.25 287.65 292.04 307.08  318.44
2006-06-06  308.07  264.91 271.90 279.26 287.67 293.03 305.38  327.22
2006-06-07  310.96  260.38 272.69 279.95 287.02 290.52 305.95  330.20
2006-06-08  311.12  261.30 271.43 278.98 286.86 289.69 306.00  332.33
2006-06-09  308.12  259.03 272.54 278.64 286.91 292.25 304.38  331.59
2006-06-10  301.99  258.54 268.80 278.15 285.81 289.92 302.88  334.76
2006-06-11  302.15  258.02 271.13 278.73 285.24 289.95 302.36  328.75
2006-06-12  302.20  256.19 270.49 279.56 285.07 290.92 301.12  326.87
2006-06-13  297.61  255.29 269.26 280.65 285.24 291.06 299.25  318.40
2006-06-14  297.98  254.11 271.00 277.97 285.38 291.32 298.63  318.00
2006-06-15  297.08  265.70 271.95 277.76 285.83 294.61 299.98  315.14
2006-06-16  299.83  264.04 271.70 278.36 285.74 294.04 300.56  313.21
2006-06-17  302.35  264.90 272.06 276.99 284.91 288.90 300.61  312.99
2006-06-18  301.76  261.79 271.59 278.32 285.69 290.50 301.95  315.48
2006-06-19  302.33  260.28 270.98 277.18 286.46 291.38 304.35  324.86
2006-06-20  303.01  257.64 269.77 278.45 286.61 288.89 304.27  327.14
2006-06-21  303.52  259.15 270.11 279.26 286.79 291.56 304.95  325.20
2006-06-22  306.34  260.69 269.95 279.61 286.37 291.06 305.33  325.96
2006-06-23  304.73  262.74 272.07 279.19 286.17 289.19 302.33  330.90
2006-06-24  303.74  263.00 271.38 277.86 285.97 290.81 303.45  328.27
2006-06-25  300.53  263.04 271.98 276.92 285.74 290.88 300.80  326.64
2006-06-26  303.56  264.21 271.39 276.55 285.71 290.61 303.84  318.78
2006-06-27  307.78  267.19 271.96 279.40 286.74 290.83 305.45  317.05
2006-06-28  309.17  268.41 271.80 280.86 286.96 291.81 303.77  314.90
2006-06-29  306.31  266.47 271.81 280.88 286.99 291.55 301.63  314.74
2006-06-30  303.64  265.18 273.07 281.08 287.39 292.70 301.84  316.85
2006-07-01  307.08  265.15 273.31 279.70 287.01 291.94 303.94  314.75
2006-07-02  309.59  262.45 273.48 279.35 287.29 294.57 303.10  315.60
2006-07-03  311.29  262.63 272.03 278.36 286.82 292.56 301.67  316.06
